t,segment,block,arm,rep,direction,speed,sample_index,l_j1,l_j2,l_j3,l_j4,l_j5,l_j6,l_j7,r_j1,r_j2,r_j3,r_j4,r_j5,r_j6,r_j7,l_ax,l_ay,l_az,l_gx,l_gy,l_gz,r_ax,r_ay,r_az,r_gx,r_gy,r_gz,fsr1,fsr2,btn1,btn2,left_cmd_x,left_cmd_y,left_cmd_z,right_cmd_x,right_cmd_y,right_cmd_z,left_cmd_qx,left_cmd_qy,left_cmd_qz,left_cmd_qw,right_cmd_qx,right_cmd_qy,right_cmd_qz,right_cmd_qw,left_ee_x,left_ee_y,left_ee_z,right_ee_x,right_ee_y,right_ee_z,left_joint_1,left_joint_2,left_joint_3,left_joint_4,left_joint_5,left_joint_6,left_joint_7,right_joint_1,right_joint_2,right_joint_3,right_joint_4,right_joint_5,right_joint_6,right_joint_7,left_clutch,right_clutch,left_scale,right_scale,left_frame_valid,right_frame_valid,left_n_dropouts,right_n_dropouts,left_data_age_s,right_data_age_s,position_mode,orientation_mode,left_channels_live,right_channels_live,left_ik_success,right_ik_success,left_ik_fail,right_ik_fail,left_guard_direct,right_guard_direct,left_guard_slewed,right_guard_slewed,left_guard_rejected,right_guard_rejected,left_min_clearance,right_min_clearance,estop
1786019186.1188,D_right_back_right,D,right,0,back_right,,0,167.7000,344.2000,158.4000,170.8000,91.0000,0.0000,342.9000,324.9000,57.4000,0.0000,103.8000,0.0000,177.3000,0.0000,-0.86900,0.03800,0.35300,1.98000,14.10000,8.59000,0.20400,-0.07700,0.92800,-3.73000,-0.69000,7.92000,11.1,2.8,1.0,1.0,0.590924,0.555523,1.398508,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,9314,2520,2060,125864,7347,3337,1818,0,149,0.39072,-0.05114,0
1786019186.1388,D_right_back_right,D,right,0,back_right,,1,167.6000,344.2000,158.4000,170.8000,87.2000,0.0000,342.8000,324.9000,57.4000,0.0000,103.7000,0.0000,177.3000,0.0000,-0.88300,0.00400,0.37100,1.73000,12.48000,6.39000,0.17000,-0.07600,0.91900,-6.44000,-1.49000,7.34000,11.1,2.8,1.0,1.0,1.084287,1.267468,1.617052,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2513,2060,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.1696,D_right_back_right,D,right,0,back_right,,2,167.6000,344.2000,158.4000,170.7000,82.3000,0.0000,342.8000,324.9000,57.4000,0.0000,103.7000,0.0000,177.4000,0.0000,-0.91800,0.00700,0.35800,-0.10000,0.40000,0.82000,0.22100,-0.08200,0.88600,-9.01000,-7.58000,3.84000,11.3,1.8,1.0,1.0,0.617262,0.081305,1.607460,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2521,2102,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.1811,D_right_back_right,D,right,0,back_right,,3,167.6000,344.2000,158.4000,170.7000,82.3000,0.0000,342.8000,325.1000,0.0000,0.0000,103.6000,0.0000,178.2000,0.0000,-0.91800,0.00700,0.35800,-0.10000,0.40000,0.82000,0.15000,-0.21100,0.86000,-9.02000,-8.89000,2.54000,11.1,1.5,1.0,1.0,0.617262,0.081305,1.607460,-0.204710,-0.919649,1.958056,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.3478,,,,,129201,125765,2521,2102,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.2224,D_right_back_right,D,right,0,back_right,,4,167.8000,344.1000,158.2000,170.7000,84.3000,0.0000,342.9000,325.6000,57.6000,0.0000,103.6000,0.0000,178.8000,0.0000,-0.86800,0.01300,0.31400,-1.09000,-5.40000,-0.21000,0.20400,-0.08500,0.91900,-3.56000,-0.96000,-1.52000,11.3,2.3,1.0,1.0,1.086769,1.268155,1.617735,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2513,2060,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.2232,D_right_back_right,D,right,0,back_right,,5,167.8000,344.1000,158.2000,170.7000,84.3000,0.0000,342.9000,325.6000,57.6000,0.0000,103.6000,0.0000,178.8000,0.0000,-0.86800,0.01300,0.31400,-1.09000,-5.40000,-0.21000,0.20400,-0.08500,0.91900,-3.56000,-0.96000,-1.52000,11.3,2.3,1.0,1.0,1.086769,1.268155,1.617735,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2513,2060,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.2393,D_right_back_right,D,right,0,back_right,,6,167.8000,344.1000,158.3000,170.7000,84.3000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.87800,0.01700,0.30400,0.29000,-5.58000,2.17000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,11.3,2.3,1.0,1.0,0.589543,0.555246,1.398214,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,129201,9314,2521,2060,125864,7347,3337,1818,0,149,0.39072,-0.05114,0
1786019186.2607,D_right_back_right,D,right,0,back_right,,7,167.8000,344.1000,158.3000,170.7000,84.3000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.89600,0.01100,0.29800,1.36000,-5.51000,1.91000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,11.3,2.3,1.0,1.0,1.090137,1.269058,1.618734,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,129201,125765,2521,2102,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.2825,D_right_back_right,D,right,0,back_right,,8,167.8000,344.1000,158.3000,170.7000,84.3000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.89600,0.01100,0.29800,1.36000,-5.51000,1.91000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,11.1,1.2,1.0,1.0,1.090137,1.269058,1.618734,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,9546,9314,2513,2060,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.3088,D_right_back_right,D,right,0,back_right,,9,167.5000,344.1000,158.3000,170.8000,82.1000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.86500,0.03800,0.32100,4.51000,6.40000,4.95000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,10.6,3.4,1.0,1.0,0.618751,0.081623,1.607872,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,129201,125765,2521,2102,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.3198,D_right_back_right,D,right,0,back_right,,10,167.5000,344.1000,158.3000,170.8000,82.1000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.86500,0.03800,0.32100,4.51000,6.40000,4.95000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,10.6,3.4,1.0,1.0,0.618751,0.081623,1.607872,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,129201,125765,2521,2102,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.3438,D_right_back_right,D,right,0,back_right,,11,167.5000,344.1000,158.3000,170.8000,82.1000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.86500,0.03800,0.32100,4.51000,6.40000,4.95000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,10.6,3.4,1.0,1.0,0.618751,0.081623,1.607872,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,9546,125765,2513,2102,6581,123760,2965,1858,0,147,0.38977,-0.05114,0
1786019186.3663,D_right_back_right,D,right,0,back_right,,12,167.5000,344.1000,158.3000,170.8000,82.1000,0.0000,342.9000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.86500,0.03800,0.32100,4.51000,6.40000,4.95000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,10.6,3.4,1.0,1.0,0.618751,0.081623,1.607872,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,9546,9314,2513,2060,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.3866,D_right_back_right,D,right,0,back_right,,13,167.5000,344.1000,158.3000,170.8000,81.6000,0.0000,343.1000,325.6000,57.6000,0.0000,103.5000,0.0000,178.9000,0.0000,-0.87600,0.01600,0.36600,4.83000,8.96000,5.85000,0.22500,-0.10700,0.91800,-0.98000,-1.46000,-2.56000,10.6,2.5,1.0,1.0,0.587974,0.554768,1.397722,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0207,,,,,129201,125765,2522,2102,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.3992,D_right_back_right,D,right,0,back_right,,14,167.5000,344.1000,158.3000,170.8000,81.6000,0.0000,343.1000,325.9000,57.4000,0.0000,103.4000,0.0000,179.2000,0.0000,-0.87600,0.01600,0.36600,4.83000,8.96000,5.85000,0.23600,-0.10300,0.87400,-1.89000,2.06000,-1.59000,10.1,2.2,1.0,1.0,0.587974,0.554768,1.397722,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.4438,D_right_back_right,D,right,0,back_right,,15,167.5000,344.1000,158.3000,170.8000,81.6000,0.0000,343.1000,325.9000,57.4000,0.0000,103.4000,0.0000,179.2000,0.0000,-0.87600,0.01600,0.36600,4.83000,8.96000,5.85000,0.23600,-0.10300,0.87400,-1.89000,2.06000,-1.59000,10.1,2.2,1.0,1.0,0.587974,0.554768,1.397722,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.4618,D_right_back_right,D,right,0,back_right,,16,167.5000,344.1000,158.3000,170.8000,81.6000,0.0000,343.1000,325.9000,57.4000,0.0000,103.4000,0.0000,179.2000,0.0000,-0.87600,0.01600,0.36600,4.83000,8.96000,5.85000,0.23600,-0.10300,0.87400,-1.89000,2.06000,-1.59000,10.1,2.2,1.0,1.0,0.587974,0.554768,1.397722,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.4627,D_right_back_right,D,right,0,back_right,,17,167.5000,344.1000,158.3000,170.8000,81.6000,0.0000,343.1000,325.9000,57.4000,0.0000,103.4000,0.0000,179.2000,0.0000,-0.87600,0.01600,0.36600,4.83000,8.96000,5.85000,0.23600,-0.10300,0.87400,-1.89000,2.06000,-1.59000,10.1,2.2,1.0,1.0,0.587974,0.554768,1.397722,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.4803,D_right_back_right,D,right,0,back_right,,18,167.5000,344.1000,158.3000,170.8000,81.6000,0.0000,343.1000,325.9000,57.4000,0.0000,103.4000,0.0000,179.2000,0.0000,-0.87600,0.01600,0.36600,4.83000,8.96000,5.85000,0.23600,-0.10300,0.87400,-1.89000,2.06000,-1.59000,10.1,2.2,1.0,1.0,0.587974,0.554768,1.397722,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.5001,D_right_back_right,D,right,0,back_right,,19,167.7000,344.1000,158.3000,170.5000,84.2000,0.0000,343.1000,326.0000,57.0000,0.0000,1034.0000,0.0000,179.4000,0.0000,-0.89200,0.03300,0.31000,1.15000,-4.42000,-2.32000,0.23400,-0.09200,0.91900,-4.75000,2.71000,-1.31000,10.7,1.4,1.0,1.0,0.620866,0.082199,1.608596,-0.204710,-0.919649,1.958056,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.5359,D_right_back_right,D,right,0,back_right,,20,167.6000,344.0000,158.3000,170.6000,84.9000,0.0000,343.1000,326.1000,56.9000,0.0000,103.4000,0.0000,179.4000,0.0000,-0.88800,0.04600,0.30200,2.68000,-2.53000,-0.70000,0.22000,-0.07700,0.91000,-4.72000,3.88000,-3.52000,10.5,0.6,1.0,1.0,1.093677,1.269899,1.619842,-0.320552,-0.550112,2.312452,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2514,2061,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.5597,D_right_back_right,D,right,0,back_right,,21,167.6000,344.1000,158.3000,170.6000,84.1000,0.0000,343.1000,326.1000,56.8000,0.0000,103.4000,0.0000,179.4000,0.0000,-0.88100,0.05900,0.30200,4.50000,1.72000,0.46000,0.18600,-0.07100,0.89900,-10.25000,1.69000,-0.33000,10.0,1.4,1.0,1.0,0.593419,0.556145,1.399422,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2514,2061,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.5617,D_right_back_right,D,right,0,back_right,,22,167.6000,344.1000,158.3000,170.6000,84.1000,0.0000,343.1000,326.1000,56.8000,0.0000,103.4000,0.0000,179.4000,0.0000,-0.88100,0.05900,0.30200,4.50000,1.72000,0.46000,0.18600,-0.07100,0.89900,-10.25000,1.69000,-0.33000,10.0,1.4,1.0,1.0,0.593419,0.556145,1.399422,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2514,2061,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.5846,D_right_back_right,D,right,0,back_right,,23,167.6000,344.3000,158.3000,170.6000,83.0000,0.0000,343.1000,326.1000,56.8000,0.0000,103.4000,0.0000,179.6000,0.0000,-0.88500,0.06000,0.30500,4.02000,3.40000,1.26000,0.20000,-0.11300,0.91800,-9.51000,-2.95000,1.30000,11.0,0.6,1.0,1.0,0.623426,0.082836,1.609436,-0.204710,-0.919649,1.958056,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0782,,,,,9546,9314,2514,2061,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.6012,D_right_back_right,D,right,0,back_right,,24,167.6000,344.3000,158.3000,170.6000,83.0000,0.0000,343.1000,326.1000,56.8000,0.0000,103.4000,0.0000,179.6000,0.0000,-0.88500,0.06000,0.30500,4.02000,3.40000,1.26000,0.20000,-0.11300,0.91800,-9.51000,-2.95000,1.30000,11.0,0.6,1.0,1.0,0.623426,0.082836,1.609436,-0.204710,-0.919649,1.958056,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,0,0,1,0.0000,0.0782,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.6263,D_right_back_right,D,right,0,back_right,,25,167.6000,344.2000,158.3000,170.7000,84.0000,0.0000,343.1000,326.3000,56.8000,0.0000,103.6000,0.0000,179.3000,0.0000,-0.88900,-0.00500,0.35600,4.56000,1.24000,3.44000,0.23600,-0.10800,0.93700,-4.24000,-0.47000,-2.05000,10.2,1.4,1.0,1.0,0.620086,0.081974,1.608437,-0.204710,-0.919649,1.958056,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.6453,D_right_back_right,D,right,0,back_right,,26,167.6000,344.2000,158.3000,170.7000,84.0000,0.0000,343.1000,326.3000,56.8000,0.0000,103.6000,0.0000,179.3000,0.0000,-0.88900,-0.00500,0.35600,4.56000,1.24000,3.44000,0.23600,-0.10800,0.93700,-4.24000,-0.47000,-2.05000,10.2,1.4,1.0,1.0,0.620086,0.081974,1.608437,-0.204710,-0.919649,1.958056,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,9546,9314,2514,2061,6581,7347,2965,1818,0,149,0.38977,-0.05114,0
1786019186.6811,D_right_back_right,D,right,0,back_right,,27,167.6000,344.2000,158.5000,170.7000,86.1000,0.0000,343.2000,326.7000,56.7000,0.0000,103.4000,0.0000,179.6000,0.0000,-0.88000,0.01100,0.34500,2.51000,-1.07000,0.91000,0.22300,-0.11100,0.92000,0.24000,-2.18000,-0.21000,10.5,2.1,1.0,1.0,1.091327,1.269267,1.619102,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.6817,D_right_back_right,D,right,0,back_right,,28,167.6000,344.2000,158.5000,170.7000,86.1000,0.0000,343.2000,326.7000,56.7000,0.0000,103.4000,0.0000,179.6000,0.0000,-0.88000,0.01100,0.34500,2.51000,-1.07000,0.91000,0.22300,-0.11100,0.92000,0.24000,-2.18000,-0.21000,10.5,2.1,1.0,1.0,1.091327,1.269267,1.619102,-1.063210,-0.525860,2.644323,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
1786019186.6992,D_right_back_right,D,right,0,back_right,,29,167.0000,344.2000,158.5000,170.7000,85.9000,0.0000,343.2000,326.7000,56.7000,0.0000,103.5000,0.0000,179.6000,0.0000,-0.88200,0.00800,0.34900,1.29000,0.07000,0.48000,0.21000,-0.12800,0.89700,-0.77000,-0.64000,-0.24000,10.9,0.9,1.0,1.0,1.090296,1.268980,1.618755,-0.320552,-0.550112,2.312452,-0.089600,0.486000,0.869300,0.003200,0.133500,0.542300,0.828800,0.034500,0.623722,0.083009,1.609340,-0.100836,0.013868,1.408864,2.244922,-1.387851,-1.104961,2.014161,-2.672103,1.620096,0.999979,-0.710242,2.239845,0.767179,2.133299,-0.556394,-1.174809,1.507891,1,0,1.0000,1.0000,1,1,0,0,0.0000,0.0000,,,,,129201,125765,2522,2103,125864,123760,3337,1858,0,147,0.39072,-0.05114,0
